unvocalized,vocalized,root,normalized,jamid,musytaq
قشف,قَشِفَ,قشف,قشف,0,1
خمج,خَمِجَ,خمج,خمج,0,1
فقص,فَقَصَ,فقص,فقص,0,1
رشم,رَشِمَ,رشم,رشم,0,1
خفر,خَفَرَ,خفر,خفر,0,1
رحل,رَحَلَ,رحل,رحل,0,1
خلب,خَلَبَ,خلب,خلب,1,0
درز,دَرِزَ,درز,درز,0,1
خشف,خَشَفَ,خشف,خشف,0,1
خشف,خَشِفَ,خشف,خشف,0,1
خشم,خَشَمَ,خشم,خشم,0,1
هدر,هَدَرَ,هدر,هدر,0,1
نعر,نَعِرَ,نعر,نعر,0,1
سحب,سَحَبَ,سحب,سحب,0,1
خرش,خَرَشَ,خرش,خرش,0,1
خرس,خَرِسَ,خرس,خرس,0,1
خرق,خَرَقَ,خرق,خرق,0,1
رجح,رَجَحَ,رجح,رجح,0,1
خرع,خَرِعَ,خرع,خرع,0,1
خرف,خَرِفَ,خرف,خرف,0,1
خرز,خَرِزَ,خرز,خرز,1,0
رصع,رَصِعَ,رصع,رصع,0,1
رضخ,رَضَخَ,رضخ,رضخ,0,1
نعق,نَعَقَ,نعق,نعق,0,1
رضع,رَضَعَ,رضع,رضع,0,1
رضع,رَضَعَ,رضع,رضع,0,1
رصع,رَصَعَ,رصع,رصع,0,1
خطب,خَطِبَ,خطب,خطب,1,0
رعب,رَعَبَ,رعب,رعب,0,1
نفس,نَفِسَ,نفس,نفس,0,1
ذلف,ذَلِفَ,ذلف,ذلف,0,1
رعف,رَعِفَ,رعف,رعف,0,1
رقب,رَقِبَ,رقب,رقب,0,1
نمس,نَمَسَ,نمس,نمس,0,1
خطف,خَطِفَ,خطف,خطف,0,1
خصر,خَصِرَ,خصر,خصر,0,1
خضب,خَضِبَ,خضب,خضب,0,1
ضغط,ضَغَطَ,ضغط,ضغط,0,1
حكر,حَكَرَ,حكر,حكر,0,1
خلف,خَلِفَ,خلف,خلف,0,1
صنع,صَنَعَ,صنع,صنع,0,1
قطم,قَطِمَ,قطم,قطم,0,1
دعم,دَعَمَ,دعم,دعم,1,0
حفل,حَفَلَ,حفل,حفل,0,1
طلح,طَلِحَ,طلح,طلح,0,1
خصم,خَصَمَ,خصم,خصم,0,1
سخط,سَخِطَ,سخط,سخط,0,1
خطل,خَطِلَ,خطل,خطل,0,1
خنس,خَنَسَ,خنس,خنس,0,1
خور,خَوِرَ,خور,خور,1,0
سنم,سَنِمَ,سنم,سنم,0,1
كنس,كَنَسَ,كنس,كنس,0,1
زعر,زَعِرَ,زعر,زعر,0,1
كبس,كَبِسَ,كبس,كبس,0,1
دجر,دَجِرَ,دجر,دجر,0,1
عمد,عَمِدَ,عمد,عمد,1,0
صبح,صَبِحَ,صبح,صبح,0,1
قرط,قَرِطَ,قرط,قرط,0,1
دمن,دَمِنَ,دمن,دمن,0,1
دبر,دَبِرَ,دبر,دبر,1,0
دبش,دَبَشَ,دبش,دبش,1,0
نهك,نَهَكَ,نهك,نهك,0,1
شخص,شَخَصَ,شخص,شخص,1,0
هدم,هَدَمَ,هدم,هدم,0,1
دخل,دَخِلَ,دخل,دخل,0,1
نهك,نَهِكَ,نهك,نهك,0,1
نهم,نَهَمَ,نهم,نهم,0,1
حرب,حَرِبَ,حرب,حرب,0,1
دحس,دَحِسَ,دحس,دحس,0,1
دعك,دَعِكَ,دعك,دعك,0,1
نبذ,نَبَذَ,نبذ,نبذ,0,1
كنز,كَنَزَ,كنز,كنز,0,1
يقن,يَقِنَ,يقن,يقن,0,1
قرن,قَرَنَ,قرن,قرن,0,1
فطم,فَطَمَ,فطم,فطم,0,1
رمد,رَمِدَ,رمد,رمد,0,1
زعق,زَعِقَ,زعق,زعق,0,1
دعس,دَعَسَ,دعس,دعس,0,1
شمخ,شَمَخَ,شمخ,شمخ,0,1
رقش,رَقِشَ,رقش,رقش,0,1
دعص,دَعَصَ,دعص,دعص,1,0
كفل,كَفِلَ,كفل,كفل,0,1
خسف,خَسَفَ,خسف,خسف,0,1
ثلم,ثَلِمَ,ثلم,ثلم,0,1
قرق,قَرَقَ,قرق,قرق,0,1
كسف,كَسَفَ,كسف,كسف,0,1
فرع,فَرِعَ,فرع,فرع,0,1
خسر,خَسِرَ,خسر,خسر,0,1
مهر,مَهَرَ,مهر,مهر,1,0
دغم,دَغِمَ,دغم,دغم,0,1
دلع,دَلَعَ,دلع,دلع,0,1
نخب,نَخِبَ,نخب,نخب,0,1
دغم,دَغِمَ,دغم,دغم,0,1
درع,دَرِعَ,درع,درع,0,1
دغص,دَغِصَ,دغص,دغص,0,1
كمن,كَمِنَ,كمن,كمن,0,1
دسق,دَسِقَ,دسق,دسق,0,1
حفظ,حَفِظَ,حفظ,حفظ,0,1
درم,دَرِمَ,درم,درم,0,1
دفع,دَفَعَ,دفع,دفع,0,1
شهم,شَهَمَ,شهم,شهم,0,1
درم,دَرَمَ,درم,درم,0,1
سفع,سَفَعَ,سفع,سفع,0,1
جدل,جَدَلَ,جدل,جدل,1,0
ربذ,رَبِذَ,ربذ,ربذ,0,1
ملط,مَلِطَ,ملط,ملط,0,1
ذعف,ذَعَفَ,ذعف,ذعف,0,1
ذعف,ذَعَفَ,ذعف,ذعف,0,1
نقم,نَقِمَ,نقم,نقم,0,1
جدل,جَدِلَ,جدل,جدل,1,0
جدر,جَدِرَ,جدر,جدر,1,0
نصح,نَصَحَ,نصح,نصح,0,1
ذهن,ذَهِنَ,ذهل,ذهن,0,1
جبه,جَبِهَ,جبه,جبه,0,1
جدف,جَدَفَ,جدف,جدف,0,1
ركب,رَكِبَ,ركب,ركب,0,1
رتج,رَتِجَ,رتج,رتج,1,0
رتق,رَتِقَ,رتق,رتق,0,1
نخر,نَخِرَ,نخر,نخر,0,1
رثم,رَثَمَ,رثم,رثم,0,1
نزح,نَزَحَ,نزح,نزح,0,1
رجب,رَجِبَ,رجب,رجب,1,0
هزم,هَزَمَ,هزم,هزم,0,1
همز,هَمَزَ,همز,همز,0,1
كرز,كَرَزَ,كرز,كرز,1,0
قبح,قَبَحَ,قبح,قبح,0,1
لسن,لَسِنَ,لسن,لسن,0,1
رجل,رَجِلَ,رجل,رجل,0,1
رجس,رَجِسَ,رجس,رجس,0,1
غرد,غَرِدَ,غرد,غرد,0,1
شرم,شَرَمَ,شرم,شرم,0,1
حسك,حَسِكَ,حسك,حسك,0,1
ثلب,ثَلَبَ,ثلب,ثلب,0,1
نعم,نَعِمَ,نعم,نعم,0,1
جبذ,جَبَذَ,جبذ,جبذ,0,1
فره,فَرِهَ,فره,فره,0,1
جمع,جَمَعَ,جمع,جمع,1,0
جنب,جَنَبَ,جنب,جنب,0,1
كبش,كَبَشَ,كبش,كبش,0,1
جشع,جَشِعَ,جشع,جشع,0,1
كرش,كَرِشَ,كرش,كرش,0,1
جعل,جَعَلَ,جعل,جعل,1,0
جدع,جَدَعَ,جدع,جدع,0,1
جذم,جَذِمَ,جذم,جذم,0,1
خنف,خَنِفَ,خنف,خنف,0,1
جذع,جَذَعَ,جذع,جذع,1,0
سعف,سَعِفَ,سعف,سعف,0,1
فسد,فَسَدَ,فسد,فسد,0,1
حلم,حَلِمَ,حلم,حلم,0,1
جذف,جَذَفَ,جذف,جذف,0,1
ثقف,ثَقِفَ,ثقف,ثقف,0,1
جرد,جَرِدَ,جرد,جرد,0,1
فقر,فَقِرَ,فقر,فقر,0,1
جذل,جَذِلَ,جذل,جذل,0,1
رغم,رَغَمَ,رغم,رغم,0,1
جزع,جَزِعَ,جزع,جزع,0,1
رهب,رَهِبَ,رهب,رهب,0,1
رهص,رَهِصَ,رهص,رهص,0,1
نطس,نَطِسَ,نطس,نطس,0,1
ركع,رَكَعَ,ركع,ركع,0,1
رمد,رَمَدَ,رمد,رمد,0,1
عقص,عَقَصَ,عقص,عقص,0,1
رمش,رَمِشَ,رمش,رمش,1,0
رغف,رَغَفَ,رغف,رغف,0,1
كشح,كَشِحَ,كشح,كشح,0,1
ذرح,ذَرَحَ,ذرح,ذرح,0,1
رعن,رَعِنَ,رعن,رعن,0,1
سمح,سَمَحَ,سمح,سمح,0,1
رفد,رَفَدَ,رفد,رفد,1,0
دهك,دَهَكَ,دهك,دهك,0,1
ردح,رَدَحَ,ردح,ردح,0,1
رزح,رَزَحَ,رزح,رزح,0,1
جهر,جَهَرَ,جهر,جهر,0,1
رذل,رَذِلَ,رذل,رذل,0,1
نعس,نَعَسَ,نعس,نعس,0,1
فعم,فَعِمَ,فعم,فعم,0,1
نصب,نَصِبَ,نصب,نصب,0,1
ركن,رَكِنَ,ركن,ركن,0,1
رمح,رَمَحَ,رمح,رمح,1,0
رشح,رَشَحَ,رشح,رشح,0,1
بشر,بَشِرَ,بشر,بشر,0,1
خشب,خَشِبَ,خشب,خشب,1,0
حرش,حَرِشَ,حرش,حرش,0,1
قنع,قَنِعَ,قنع,قنع,0,1
دمث,دَمِثَ,دمث,دمث,0,1
دمس,دَمَسَ,دمس,دمس,0,1
رفش,رَفِشَ,رفش,رفش,0,1
دله,دَلِهَ,دله,دله,0,1
دمغ,دَمَغَ,دمغ,دمغ,0,1
قود,قَوِدَ,قود,قود,0,1
رعش,رَعَشَ,رعش,رعش,0,1
مرد,مَرِدَ,مرد,مرد,0,1
دهس,دَهِسَ,دهس,دهس,1,0
لغد,لَغَدَ,لغد,لغد,1,0
دهش,دَهَشَ,دهش,دهش,0,1
دهش,دَهِشَ,دهش,دهش,0,1
لحف,لَحَفَ,لحف,لحف,0,1
قفص,قَفِصَ,قفص,قفص,0,1
سطع,سَطِعَ,سطع,سطع,0,1
ذبر,ذَبَرَ,ذبر,ذبر,0,1
عفن,عَفَنَ,عفن,عفن,0,1
عشب,عَشِبَ,عشب,عشب,1,0
رفع,رَفَعَ,رفع,رفع,0,1
صحب,صَحِبَ,صحب,صحب,0,1
ذخر,ذَخَرَ,ذخر,ذخر,1,0
ذرف,ذَرَفَ,ذرف,ذرف,0,1
عصم,عَصَمَ,عصم,عصم,1,0
دهم,دَهَمَ,دهم,دهم,0,1
خلص,خَلِصَ,خلص,خلص,0,1
دوش,دَوِشَ,دوش,دوش,0,1
شظف,شَظِفَ,شظف,شظف,0,1
شمل,شَمِلَ,شمل,شمل,0,1
زمن,زَمِنَ,زمن,زمن,0,1
طبع,طَبَعَ,طبع,طبع,0,1
محق,مَحَقَ,محق,محق,0,1
ربث,رَبَثَ,ربث,ربث,0,1
درج,دَرِجَ,درج,درج,1,0
نجس,نَجِسَ,نجس,نجس,0,1
بخس,بَخَسَ,بخس,بخس,0,1
ضبن,ضَبِنَ,ضبن,ضبن,0,1
علب,عَلِبَ,علب,علب,0,1
حنف,حَنَفَ,حنف,حنف,0,1
حقب,حَقِبَ,حقب,حقب,1,0
صحن,صَحَنَ,صحن,صحن,0,1
نهش,نَهَشَ,نهش,نهش,0,1
ظهر,ظَهِرَ,ظهر,ظهر,0,1
حضر,حَضِرَ,حضر,حضر,0,1
قضم,قَضَمَ,قضم,قضم,0,1
غرز,غَرَزَ,غرز,غرز,0,1
فجع,فَجَعَ,فجع,فجع,0,1
عدس,عَدَسَ,عدس,عدس,1,0
نفر,نَفَرَ,نفر,نفر,0,1
كبل,كَبَلَ,كبل,كبل,0,1
محك,مَحَكَ,محك,محك,1,0
حتم,حَتَمَ,حتم,حتم,0,1
عصب,عَصَبَ,عصب,عصب,0,1
فلح,فَلِحَ,فلح,فلح,0,1
دحص,دَحَصَ,دحص,دحص,0,1
سنح,سَنَحَ,سنح,سنح,0,1
زعج,زَعَجَ,زعج,زعج,0,1
حسر,حَسِرَ,حسر,حسر,0,1
طفل,طَفِلَ,طفل,طفل,0,1
شرب,شَرَبَ,شرب,شرب,0,1
نبه,نَبِهَ,نبه,نبه,0,1
طرش,طَرِشَ,طرش,طرش,0,1
ضمن,ضَمِنَ,ضمن,ضمن,0,1
خصف,خَصِفَ,خصف,خصف,0,1
غرز,غَرِزَ,غرز,غرز,0,1
فدح,فَدَحَ,فدح,فدح,0,1
رغن,رَغَنَ,رغن,رغن,0,1
ترح,تَرِحَ,ترح,ترح,0,1
شذب,شَذَبَ,شذب,شذب,0,1
نحط,نَحَطَ,نحط,نحط,0,1
خضر,خَضِرَ,خضر,خضر,0,1
رفه,رَفَهَ,رفه,رفه,0,1
قور,قَوِرَ,قور,قور,0,1
ذعر,ذَعَرَ,ذعر,ذعر,1,0
سقف,سَقِفَ,سقف,سقف,0,1
دحض,دَحَضَ,دحض,دحض,0,1
حرج,حَرِجَ,حرج,حرج,0,1
بهج,بَهَجَ,بهج,بهج,0,1
متع,مَتَعَ,متع,متع,1,0
قبع,قَبَعَ,قبع,قبع,1,0
قبل,قَبِلَ,قبل,قبل,1,0
فصم,فَصَمَ,فصم,فصم,0,1
عكش,عَكِشَ,عكش,عكش,0,1
لطم,لَطَمَ,لطم,لطم,0,1
نظم,نَظَمَ,نظم,نظم,0,1
فتن,فَتَنَ,فتن,فتن,0,1
فتك,فَتَكَ,فتك,فتك,0,1
عرم,عَرِمَ,عرم,عرم,0,1
صقع,صَقَعَ,صقع,صقع,0,1
دجم,دَجِمَ,دجم,دجم,0,1
فطح,فَطِحَ,فطح,فطح,0,1
سفع,سَفِعَ,سفع,سفع,0,1
جلخ,جَلَخَ,جلخ,جلخ,0,1
شغف,شَغِفَ,شغف,شغف,0,1
خشم,خَشِمَ,خشم,خشم,0,1
زمع,زَمِعَ,زمع,زمع,0,1
نشف,نَشِفَ,نشف,نشف,0,1
سبح,سَبَحَ,سبح,سبح,0,1
سبخ,سَبِخَ,سبخ,سبخ,0,1
سفه,سَفَهَ,سفه,سفه,0,1
ذهب,ذَهَبَ,ذهب,ذهب,0,1
ضعف,ضَعَفَ,ضعف,ضعف,0,1
زعط,زَعَطَ,زعط,زعط,0,1
دحر,دَحَرَ,دحر,دحر,0,1
نحس,نَحِسَ,نحس,نحس,0,1
روح,رَوِحَ,روح,روح,0,1
زمع,زَمَعَ,زمع,زمع,0,1
جلب,جَلَبَ,جلب,جلب,0,1
رهف,رَهَفَ,رهف,رهف,0,1
سمع,سَمِعَ,سمع,سمع,0,1
شجب,شَجِبَ,شجب,شجب,0,1
نهر,نَهَرَ,نهر,نهر,0,1
مصح,مَصَحَ,مصح,مصح,1,0
طعن,طَعَنَ,طعن,طعن,0,1
ثرب,ثَرَبَ,ثرب,ثرب,0,1
فخر,فَخَرَ,فخر,فخر,0,1
مهل,مَهَلَ,مهل,مهل,1,0
جهل,جَهِلَ,جهل,جهل,0,1
نغم,نَغِمَ,نغم,نغم,0,1
نشم,نَشِمَ,نشم,نشم,0,1
نكد,نَكِدَ,نكد,نكد,0,1
ذعر,ذَعِرَ,ذعر,ذعر,1,0
رضف,رَضَفَ,رضف,رضف,0,1
قمل,قَمِلَ,قمل,قمل,1,0
فرك,فَرَكَ,فرك,فرك,0,1
غصن,غَصَنَ,غصن,غصن,0,1
دفن,دَفَنَ,دفن,دفن,0,1
همس,هَمَسَ,همس,همس,1,0
جرع,جَرِعَ,جرع,جرع,0,1
نعش,نَعَشَ,نعش,نعش,0,1
معق,مَعَقَ,معق,معق,0,1
فطس,فَطَسَ,فطس,فطس,0,1
نشر,نَشِرَ,نشر,نشر,0,1
صدح,صَدَحَ,صدح,صدح,0,1
سطح,سَطَحَ,سطح,سطح,0,1
نهم,نَهِمَ,نهم,نهم,0,1
هرد,هَرِدَ,هرد,هرد,0,1
دغر,دَغَرَ,دغر,دغر,0,1
قنص,قَنَصَ,قنص,قنص,0,1
شحم,شَحَمَ,شحم,شحم,0,1
قرض,قَرِضَ,قرض,قرض,0,1
نقم,نَقَمَ,نقم,نقم,0,1
