unvocalized,vocalized,jamid
بغت,بَغَتَ,0
بخل,بَخِلَ,0
محل,مَحَلَ,0
عكس,عَكَسَ,0
ردف,رَدِفَ,1
قصف,قَصَفَ,0
خطر,خَطَرَ,0
جنح,جَنَحَ,1
تبع,تَبِعَ,0
شنج,شَنِجَ,0
حسف,حَسِفَ,0
عتب,عَتَبَ,0
بحث,بَحَثَ,0
عشق,عَشِقَ,0
نعب,نَعَبَ,0
صرد,صَرِدَ,0
خزق,خَزَقَ,0
زلع,زَلَعَ,0
شنع,شَنَعَ,0
شنع,شَنِعَ,0
ربع,رَبَعَ,0
نصع,نَصَعَ,0
عتق,عَتَقَ,0
صرف,صَرَفَ,0
هزج,هَزِجَ,1
نتن,نَتَنَ,0
صعق,صَعَقَ,0
صعق,صَعِقَ,0
حدر,حَدِرَ,0
صدف,صَدَفَ,1
شهق,شَهَقَ,0
معن,مَعَنَ,0
شهب,شَهِبَ,1
فخر,فَخِرَ,0
زمر,زَمَرَ,0
شكر,شَكِرَ,0
شكس,شَكِسَ,0
شكل,شَكِلَ,0
حمل,حَمَلَ,1
شمت,شَمِتَ,0
كبت,كَبَتَ,0
شمس,شَمِسَ,0
نزف,نَزَفَ,0
شرب,شَرِبَ,0
زعق,زَعَقَ,0
نشط,نَشَطَ,0
ذبح,ذَبَحَ,0
شعف,شَعِفَ,1
سوق,سَوِقَ,1
جشم,جَشِمَ,0
شبر,شَبِرَ,0
ظلف,ظَلِفَ,0
طفر,طَفَرَ,0
شبق,شَبِقَ,0
سيس,سَيِسَ,0
صرم,صَرَمَ,0
لزج,لَزِجَ,1
غلق,غَلَقَ,0
بشع,بَشِعَ,0
شوه,شَوِهَ,0
لمس,لَمَسَ,0
شبك,شَبَكَ,0
هجع,هَجَعَ,0
شبع,شَبِعَ,0
شخب,شَخَبَ,0
عدل,عَدَلَ,0
قضب,قَضَبَ,0
صدع,صَدَعَ,0
صخب,صَخِبَ,0
حدج,حَدَجَ,0
قرس,قَرَسَ,0
رثم,رَثِمَ,0
علق,عَلَقَ,0
نذر,نَذِرَ,0
كتف,كَتَفَ,0
جهز,جَهَزَ,0
خفر,خَفِرَ,0
حبر,حَبِرَ,1
رضع,رَضِعَ,0
جهش,جَهَشَ,0
جهد,جَهَدَ,0
قضم,قَضِمَ,0
خصب,خَصَبَ,0
حنث,حَنِثَ,0
قلق,قَلَقَ,0
حور,حَوِرَ,1
شنب,شَنِبَ,0
حمر,حَمِرَ,0
حمس,حَمِسَ,0
خبز,خَبَزَ,0
ظرب,ظَرِبَ,1
حبط,حَبَطَ,0
هزع,هَزَعَ,0
حنط,حَنَطَ,0
حنف,حَنِفَ,0
حبط,حَبِطَ,0
بذخ,بَذِخَ,0
كرز,كَرَزَ,1
ثمل,ثَمِلَ,0
مشط,مَشَطَ,1
حذر,حَذِرَ,0
خرق,خَرِقَ,0
حرد,حَرَدَ,0
غلب,غَلَبَ,0
دنف,دَنِفَ,0
شنف,شَنِفَ,0
سلب,سَلِبَ,0
شفه,شَفَهَ,0
عجز,عَجَزَ,0
ظلم,ظَلِمَ,0
كسف,كَسَفَ,0
حرم,حَرَمَ,0
شفق,شَفِقَ,0
كفح,كَفِحَ,0
نكح,نَكَحَ,0
حزم,حَزَمَ,0
كدر,كَدِرَ,0
خرب,خَرِبَ,0
حسف,حَسَفَ,0
سدل,سَدِلَ,0
سكر,سَكِرَ,0
حسم,حَسَمَ,0
حشد,حَشَدَ,0
خزل,خَزَلَ,0
خزر,خَزِرَ,0
لبد,لَبِدَ,0
خلس,خَلِسَ,0
نمس,نَمِسَ,0
قبس,قَبَسَ,0
ركن,رَكَنَ,0
قشف,قَشِفَ,0
خمج,خَمِجَ,0
فقص,فَقَصَ,0
رشم,رَشِمَ,0
خفر,خَفَرَ,0
رحل,رَحَلَ,0
خلب,خَلَبَ,1
درز,دَرِزَ,0
خشف,خَشَفَ,0
خشف,خَشِفَ,0
خشم,خَشَمَ,0
هدر,هَدَرَ,0
نعر,نَعِرَ,0
سحب,سَحَبَ,0
خرش,خَرَشَ,0
خرس,خَرِسَ,0
خرق,خَرَقَ,0
رجح,رَجَحَ,0
خرع,خَرِعَ,0
خرف,خَرِفَ,0
خرز,خَرِزَ,1
رصع,رَصِعَ,0
رضخ,رَضَخَ,0
نعق,نَعَقَ,0
رضع,رَضَعَ,0
رضع,رَضَعَ,0
رصع,رَصَعَ,0
خطب,خَطِبَ,1
رعب,رَعَبَ,0
نفس,نَفِسَ,0
ذلف,ذَلِفَ,0
رعف,رَعِفَ,0
رقب,رَقِبَ,0
نمس,نَمَسَ,0
خطف,خَطِفَ,0
خصر,خَصِرَ,0
خضب,خَضِبَ,0
ضغط,ضَغَطَ,0
حكر,حَكَرَ,0
خلف,خَلِفَ,0
صنع,صَنَعَ,0
قطم,قَطِمَ,0
دعم,دَعَمَ,1
حفل,حَفَلَ,0
طلح,طَلِحَ,0
خصم,خَصَمَ,0
سخط,سَخِطَ,0
خطل,خَطِلَ,0
خنس,خَنَسَ,0
خور,خَوِرَ,1
سنم,سَنِمَ,0
كنس,كَنَسَ,0
زعر,زَعِرَ,0
كبس,كَبِسَ,0
دجر,دَجِرَ,0
عمد,عَمِدَ,1
صبح,صَبِحَ,0
قرط,قَرِطَ,0
دمن,دَمِنَ,0
دبر,دَبِرَ,1
دبش,دَبَشَ,1
نهك,نَهَكَ,0
شخص,شَخَصَ,1
هدم,هَدَمَ,0
دخل,دَخِلَ,0
نهك,نَهِكَ,0
نهم,نَهَمَ,0
حرب,حَرِبَ,0
دحس,دَحِسَ,0
دعك,دَعِكَ,0
نبذ,نَبَذَ,0
كنز,كَنَزَ,0
يقن,يَقِنَ,0
قرن,قَرَنَ,0
فطم,فَطَمَ,0
رمد,رَمِدَ,0
زعق,زَعِقَ,0
دعس,دَعَسَ,0
شمخ,شَمَخَ,0
رقش,رَقِشَ,0
دعص,دَعَصَ,1
كفل,كَفِلَ,0
خسف,خَسَفَ,0
ثلم,ثَلِمَ,0
قرق,قَرَقَ,0
كسف,كَسَفَ,0
فرع,فَرِعَ,0
خسر,خَسِرَ,0
مهر,مَهَرَ,1
دغم,دَغِمَ,0
دلع,دَلَعَ,0
نخب,نَخِبَ,0
دغم,دَغِمَ,0
درع,دَرِعَ,0
دغص,دَغِصَ,0
كمن,كَمِنَ,0
دسق,دَسِقَ,0
حفظ,حَفِظَ,0
درم,دَرِمَ,0
دفع,دَفَعَ,0
شهم,شَهَمَ,0
درم,دَرَمَ,0
سفع,سَفَعَ,0
جدل,جَدَلَ,1
ربذ,رَبِذَ,0
ملط,مَلِطَ,0
ذعف,ذَعَفَ,0
ذعف,ذَعَفَ,0
نقم,نَقِمَ,0
جدل,جَدِلَ,1
جدر,جَدِرَ,1
نصح,نَصَحَ,0
ذهن,ذَهِنَ,0
جبه,جَبِهَ,0
جدف,جَدَفَ,0
ركب,رَكِبَ,0
رتج,رَتِجَ,1
رتق,رَتِقَ,0
نخر,نَخِرَ,0
رثم,رَثَمَ,0
نزح,نَزَحَ,0
رجب,رَجِبَ,1
هزم,هَزَمَ,0
همز,هَمَزَ,0
كرز,كَرَزَ,1
قبح,قَبَحَ,0
لسن,لَسِنَ,0
رجل,رَجِلَ,0
رجس,رَجِسَ,0
غرد,غَرِدَ,0
شرم,شَرَمَ,0
حسك,حَسِكَ,0
ثلب,ثَلَبَ,0
نعم,نَعِمَ,0
جبذ,جَبَذَ,0
فره,فَرِهَ,0
جمع,جَمَعَ,1
جنب,جَنَبَ,0
كبش,كَبَشَ,0
جشع,جَشِعَ,0
كرش,كَرِشَ,0
جعل,جَعَلَ,1
جدع,جَدَعَ,0
جذم,جَذِمَ,0
خنف,خَنِفَ,0
جذع,جَذَعَ,1
سعف,سَعِفَ,0
فسد,فَسَدَ,0
حلم,حَلِمَ,0
جذف,جَذَفَ,0
ثقف,ثَقِفَ,0
جرد,جَرِدَ,0
فقر,فَقِرَ,0
جذل,جَذِلَ,0
رغم,رَغَمَ,0
جزع,جَزِعَ,0
رهب,رَهِبَ,0
رهص,رَهِصَ,0
نطس,نَطِسَ,0
ركع,رَكَعَ,0
رمد,رَمَدَ,0
عقص,عَقَصَ,0
رمش,رَمِشَ,1
رغف,رَغَفَ,0
كشح,كَشِحَ,0
ذرح,ذَرَحَ,0
رعن,رَعِنَ,0
سمح,سَمَحَ,0
رفد,رَفَدَ,1
دهك,دَهَكَ,0
ردح,رَدَحَ,0
رزح,رَزَحَ,0
جهر,جَهَرَ,0
رذل,رَذِلَ,0
نعس,نَعَسَ,0
فعم,فَعِمَ,0
نصب,نَصِبَ,0
ركن,رَكِنَ,0
رمح,رَمَحَ,1
رشح,رَشَحَ,0
بشر,بَشِرَ,0
خشب,خَشِبَ,1
حرش,حَرِشَ,0
قنع,قَنِعَ,0
دمث,دَمِثَ,0
دمس,دَمَسَ,0
رفش,رَفِشَ,0
دله,دَلِهَ,0
دمغ,دَمَغَ,0
قود,قَوِدَ,0
رعش,رَعَشَ,0
مرد,مَرِدَ,0
دهس,دَهِسَ,1
لغد,لَغَدَ,1
دهش,دَهَشَ,0
دهش,دَهِشَ,0
لحف,لَحَفَ,0
قفص,قَفِصَ,0
سطع,سَطِعَ,0
ذبر,ذَبَرَ,0
عفن,عَفَنَ,0
عشب,عَشِبَ,1
رفع,رَفَعَ,0
صحب,صَحِبَ,0
ذخر,ذَخَرَ,1
ذرف,ذَرَفَ,0
عصم,عَصَمَ,1
دهم,دَهَمَ,0
خلص,خَلِصَ,0
دوش,دَوِشَ,0
شظف,شَظِفَ,0
شمل,شَمِلَ,0
زمن,زَمِنَ,0
طبع,طَبَعَ,0
محق,مَحَقَ,0
ربث,رَبَثَ,0
درج,دَرِجَ,1
نجس,نَجِسَ,0
بخس,بَخَسَ,0
ضبن,ضَبِنَ,0
علب,عَلِبَ,0
حنف,حَنَفَ,0
حقب,حَقِبَ,1
صحن,صَحَنَ,0
نهش,نَهَشَ,0
ظهر,ظَهِرَ,0
حضر,حَضِرَ,0
قضم,قَضَمَ,0
غرز,غَرَزَ,0
فجع,فَجَعَ,0
عدس,عَدَسَ,1
نفر,نَفَرَ,0
كبل,كَبَلَ,0
محك,مَحَكَ,1
حتم,حَتَمَ,0
عصب,عَصَبَ,0
فلح,فَلِحَ,0
دحص,دَحَصَ,0
سنح,سَنَحَ,0
زعج,زَعَجَ,0
حسر,حَسِرَ,0
طفل,طَفِلَ,0
شرب,شَرَبَ,0
نبه,نَبِهَ,0
طرش,طَرِشَ,0
ضمن,ضَمِنَ,0
خصف,خَصِفَ,0
غرز,غَرِزَ,0
فدح,فَدَحَ,0
رغن,رَغَنَ,0
ترح,تَرِحَ,0
شذب,شَذَبَ,0
نحط,نَحَطَ,0
خضر,خَضِرَ,0
رفه,رَفَهَ,0
قور,قَوِرَ,0
ذعر,ذَعَرَ,1
سقف,سَقِفَ,0
دحض,دَحَضَ,0
حرج,حَرِجَ,0
بهج,بَهَجَ,0
متع,مَتَعَ,1
قبع,قَبَعَ,1
قبل,قَبِلَ,1
فصم,فَصَمَ,0
عكش,عَكِشَ,0
لطم,لَطَمَ,0
نظم,نَظَمَ,0
فتن,فَتَنَ,0
فتك,فَتَكَ,0
عرم,عَرِمَ,0
صقع,صَقَعَ,0
دجم,دَجِمَ,0
فطح,فَطِحَ,0
سفع,سَفِعَ,0
جلخ,جَلَخَ,0
شغف,شَغِفَ,0
خشم,خَشِمَ,0
زمع,زَمِعَ,0
نشف,نَشِفَ,0
سبح,سَبَحَ,0
سبخ,سَبِخَ,0
سفه,سَفَهَ,0
ذهب,ذَهَبَ,0
ضعف,ضَعَفَ,0
زعط,زَعَطَ,0
دحر,دَحَرَ,0
نحس,نَحِسَ,0
روح,رَوِحَ,0
زمع,زَمَعَ,0
جلب,جَلَبَ,0
رهف,رَهَفَ,0
سمع,سَمِعَ,0
شجب,شَجِبَ,0
نهر,نَهَرَ,0
مصح,مَصَحَ,1
طعن,طَعَنَ,0
ثرب,ثَرَبَ,0
فخر,فَخَرَ,0
مهل,مَهَلَ,1
جهل,جَهِلَ,0
نغم,نَغِمَ,0
نشم,نَشِمَ,0
نكد,نَكِدَ,0
ذعر,ذَعِرَ,1
رضف,رَضَفَ,0
قمل,قَمِلَ,1
فرك,فَرَكَ,0
غصن,غَصَنَ,0
دفن,دَفَنَ,0
همس,هَمَسَ,1
جرع,جَرِعَ,0
نعش,نَعَشَ,0
معق,مَعَقَ,0
فطس,فَطَسَ,0
نشر,نَشِرَ,0
صدح,صَدَحَ,0
سطح,سَطَحَ,0
نهم,نَهِمَ,0
هرد,هَرِدَ,0
دغر,دَغَرَ,0
قنص,قَنَصَ,0
شحم,شَحَمَ,0
قرض,قَرِضَ,0
نقم,نَقَمَ,0
عصد,عَصَدَ,0
جزف,جَزَفَ,0
سفك,سَفَكَ,0
هبش,هَبِشَ,0
ذرق,ذَرَقَ,0
عزب,عَزَبَ,0
كبس,كَبَسَ,0
هذب,هَذَبَ,0
لهث,لَهِثَ,0
قزم,قَزِمَ,0
قتم,قَتِمَ,0
خنز,خَنِزَ,0
لهب,لَهِبَ,0
رعش,رَعِشَ,0
لطع,لَطَعَ,0
رهق,رَهِقَ,0
زلج,زَلَجَ,0
خفت,خَفَتَ,0
نكه,نَكَهَ,0
عقل,عَقَلَ,0
مذق,مَذَقَ,0
نقه,نَقَهَ,0
ثبط,ثَبِطَ,0
طعم,طَعِمَ,0
عهد,عَهِدَ,0
قلم,قَلَمَ,1
بهر,بَهَرَ,1
قمع,قَمَعَ,0
حزم,حَزِمَ,0
غمض,غَمَضَ,0
نجل,نَجِلَ,0
شهب,شَهَبَ,1
عتق,عَتَقَ,0
ضجر,ضَجِرَ,0
شرح,شَرَحَ,0
زبد,زَبَدَ,1
خنث,خَنِثَ,0
ترب,تَرِبَ,0
هدل,هَدَلَ,0
تله,تَلِهَ,0
طهر,طَهَرَ,0
كتف,كَتِفَ,0
عطش,عَطِشَ,0
كتف,كَتَفَ,0
حرص,حَرَصَ,0
قشر,قَشَرَ,0
صفع,صَفَعَ,0
نكف,نَكِفَ,0
شحن,شَحَنَ,0
زنم,زَنِمَ,0
نوق,نَوِقَ,0
عور,عَوِرَ,0
سحم,سَحِمَ,0
ختم,خَتَمَ,0
سعر,سَعَرَ,0
قلع,قَلِعَ,1
حمل,حَمَلَ,1
صنع,صَنِعَ,0
نعج,نَعِجَ,0
قوس,قَوِسَ,1
دهم,دَهِمَ,0
نتف,نَتَفَ,0
قعس,قَعَسَ,0
سحر,سَحِرَ,1
نحل,نَحَلَ,0
دعك,دَعَكَ,0
صفر,صَفِرَ,1
سرس,سَرِسَ,0
عمش,عَمَشَ,0
خرم,خَرَمَ,0
غسق,غَسِقَ,0
سفه,سَفِهَ,0
نغص,نَغَصَ,0
حذق,حَذَقَ,0
هيف,هَيِفَ,0
نشق,نَشِقَ,0
حبل,حَبِلَ,0
فدع,فَدَعَ,0
هتف,هَتَفَ,0
حذف,حَذَفَ,0
فحل,فَحَلَ,0
لحن,لَحِنَ,0
سعد,سَعَدَ,0
خسر,خَسَرَ,0
قلب,قَلِبَ,0
رجع,رَجَعَ,0
نفح,نَفَحَ,0
دسع,دَسَعَ,0
هتن,هَتَنَ,0
عتم,عَتَمَ,0
كشط,كَشَطَ,0
نفع,نَفَعَ,0
عدل,عَدَلَ,0
كفن,كَفَنَ,0
قحل,قَحِلَ,0
بصم,بَصَمَ,0
حلك,حَلِكَ,0
عبد,عَبِدَ,0
حزر,حَزَرَ,0
سحق,سَحَقَ,0
نصت,نَصَتَ,0
عبس,عَبِسَ,0
طمر,طَمَرَ,1
خدع,خَدَعَ,0
صلت,صَلَتَ,0
حرد,حَرِدَ,0
طمس,طَمَسَ,0
ظهر,ظَهَرَ,0
طلق,طَلِقَ,0
حصب,حَصِبَ,0
صلف,صَلِفَ,0
صوف,صَوِفَ,1
ضغث,ضَغَثَ,0
ذرع,ذَرِعَ,0
صلد,صَلَدَ,0
كظم,كَظَمَ,0
سرق,سَرِقَ,0
ظعن,ظَعَنَ,1
ظفر,ظَفَرَ,0
ظفر,ظَفِرَ,0
حزق,حَزَقَ,0
ظلف,ظَلَفَ,0
قلف,قَلِفَ,0
ردع,رَدَعَ,0
عزف,عَزَفَ,0
طلب,طَلِبَ,0
لقن,لَقِنَ,1
غسل,غَسَلَ,1
طلس,طَلَسَ,0
طلس,طَلِسَ,0
يمن,يَمِنَ,0
غصب,غَصَبَ,0
صعد,صَعِدَ,0
لطخ,لَطَخَ,0
ضغم,ضَغَمَ,0
ضرم,ضَرِمَ,0
نحس,نَحَسَ,0
ضلع,ضَلَعَ,0
صقع,صَقَعَ,0
ضحل,ضَحَلَ,0
ضمد,ضَمَدَ,0
خنع,خَنَعَ,1
ضفر,ضَفَرَ,0
ضبح,ضَبَحَ,0
جوف,جَوِفَ,0
ندم,نَدِمَ,0
صفح,صَفَحَ,0
صهب,صَهِبَ,0
عبط,عَبَطَ,0
قصف,قَصِفَ,0
حدب,حَدِبَ,0
فرز,فَرَزَ,0
عتب,عَتَبَ,0
ضرع,ضَرِعَ,0
نجح,نَجَحَ,0
صقع,صَقِعَ,0
صلب,صَلَبَ,0
شرط,شَرِطَ,0
شرع,شَرَعَ,0
دعث,دَعِثَ,0
لفح,لَفَحَ,0
شرق,شَرِقَ,0
شرك,شَرِكَ,0
حنق,حَنِقَ,0
شره,شَرِهَ,0
طرح,طَرَحَ,0
نصف,نَصَفَ,0
شعث,شَعِثَ,0
جيد,جَيِدَ,0
دمل,دَمِلَ,1
تلع,تَلَعَ,0
شجن,شَجِنَ,0
شغف,شَغَفَ,0
عجف,عَجَفَ,0
شحط,شَحَطَ,0
تلع,تَلِعَ,0
ردم,رَدَمَ,0
بهت,بَهَتَ,0
زرب,زَرِبَ,0
رتل,رَتِلَ,0
عضل,عَضِلَ,0
شعل,شَعَلَ,1
شمع,شَمَعَ,0
جهم,جَهَمَ,0
دغش,دَغَشَ,0
طبق,طَبِقَ,1
عبث,عَبِثَ,0
مسخ,مَسَخَ,0
طحل,طَحِلَ,0
طحن,طَحَنَ,0
طمث,طَمَثَ,0
طمع,طَمِعَ,0
خضب,خَضَبَ,0
طنب,طَنِبَ,1
نبز,نَبَزَ,0
رمض,رَمِضَ,0
قسم,قَسَمَ,1
طرس,طَرَسَ,0
لفت,لَفِتَ,0
نغز,نَغَزَ,0
سرب,سَرِبَ,1
طرف,طَرَفَ,0
خبط,خَبَطَ,1
طرد,طَرَدَ,0
طمس,طَمَسَ,0
صدم,صَدَمَ,0
طبع,طَبِعَ,0
ضمد,ضَمِدَ,0
يسر,يَسِرَ,0
طفح,طَفَحَ,0
سرج,سَرِجَ,0
سرح,سَرَحَ,0
زعج,زَعِجَ,0
قصر,قَصِرَ,0
زلج,زَلِجَ,0
فعم,فَعَمَ,0
سحت,سَحَتَ,0
سكر,سَكِرَ,0
زيل,زَيِلَ,0
زور,زَوِرَ,0
قلص,قَلِصَ,0
ربح,رَبِحَ,0
رهن,رَهَنَ,0
صخر,صَخِرَ,1
غلف,غَلِفَ,1
نفط,نَفِطَ,0
حجز,حَجَزَ,0
برش,بَرِشَ,0
زقف,زَقَفَ,0
سحق,سَحِقَ,0
دله,دَلَهَ,0
خفر,خَفَرَ,0
جبه,جَبَهَ,0
خزن,خَزِنَ,0
خصم,خَصِمَ,0
فلج,فَلِجَ,0
زلع,زَلَعَ,0
سرع,سَرِعَ,0
عطس,عَطَسَ,0
زهد,زَهِدَ,0
سلم,سَلِمَ,1
صفد,صَفَدَ,1
سهد,سَهِدَ,0
رهق,رَهِقَ,0
سمن,سَمِنَ,0
روق,رَوِقَ,0
فرض,فَرَضَ,0
حذق,حَذَقَ,0
يتم,يَتَمَ,0
عذق,عَذَقَ,0
مدح,مَدَحَ,0
نطف,نَطَفَ,0
نمل,نَمِلَ,0
نحل,نَحِلَ,0
سلس,سَلِسَ,0
هدب,هَدَبَ,0
ذبر,ذَبِرَ,0
سكف,سَكِفَ,0
عطف,عَطَفَ,0
زهق,زَهَقَ,0
سنح,سَنَحَ,0
زبن,زَبَنَ,0
قرع,قَرِعَ,0
جنح,جَنَحَ,1
نهل,نَهِلَ,0
عبر,عَبِرَ,0
قرح,قَرَحَ,0
ضرع,ضَرَعَ,0
سبط,سَبِطَ,0
سعد,سَعِدَ,0
عزل,عَزَلَ,0
زرق,زَرِقَ,0
حصب,حَصَبَ,0
شحم,شَحِمَ,0
سفد,سَفَدَ,0
زرف,زَرِفَ,0
عدم,عَدِمَ,0
خزف,خَزَفَ,1
عرق,عَرِقَ,1
ضرط,ضَرَطَ,0
فتق,فَتِقَ,0
قصد,قَصَدَ,0
ضرب,ضَرَبَ,0
ملك,مَلَكَ,0
ضرس,ضَرِسَ,0
سجد,سَجِدَ,0
زلق,زَلَقَ,0
زرع,زَرَعَ,0
هبط,هَبَطَ,0
ضرس,ضَرَسَ,0
قرب,قَرِبَ,1
شوس,شَوِسَ,0
عثر,عَثَرَ,0
سخن,سَخِنَ,0
زعل,زَعِلَ,0
سخر,سَخَرَ,0
سدر,سَدِرَ,0
زغب,زَغِبَ,0
سحر,سَحَرَ,1
نغل,نَغِلَ,0
ختن,خَتَنَ,0
فخذ,فَخَذَ,0
صدف,صَدِفَ,1
جهم,جَهِمَ,0
برع,بَرِعَ,0
سطع,سَطَعَ,0
زمر,زَمَرَ,0
عجن,عَجِنَ,0
نطح,نَطَحَ,0
كلح,كَلَحَ,0
لدغ,لَدَغَ,0
زبل,زَبَلَ,1
جلد,جَلَدَ,0
سفن,سَفَنَ,0
سفح,سَفَحَ,0
سعف,سَعَفَ,0
دعر,دَعِرَ,0
زمج,زَمِجَ,0
زخر,زَخَرَ,0
صرع,صَرَعَ,0
فرج,فَرَجَ,0
فدغ,فَدَغَ,0
غلف,غَلَفَ,1
فرج,فَرِجَ,0
صبر,صَبَرَ,0
فدع,فَدِعَ,0
لعج,لَعَجَ,0
غمز,غَمَزَ,0
فصح,فَصَحَ,0
جلس,جَلَسَ,0
هضب,هَضَبَ,0
رشح,رَشِحَ,0
عته,عَتِهَ,0
مغط,مَغَطَ,0
فتن,فَتَنَ,0
ظلع,ظَلَعَ,1
قدر,قَدَرَ,0
قحط,قَحَطَ,0
رحب,رَحِبَ,0
عمل,عَمِلَ,0
فحص,فَحَصَ,0
درع,دَرَعَ,0
دهر,دَهَرَ,1
قلع,قَلَعَ,1
لقف,لَقِفَ,0
كرع,كَرِعَ,0
قمص,قَمَصَ,0
عوز,عَوِزَ,0
صهر,صَهَرَ,1
فطح,فَطَحَ,0
فطر,فَطَرَ,0
شرب,شَرِبَ,0
ضجع,ضَجَعَ,0
غفق,غَفَقَ,0
فصل,فَصَلَ,0
فرح,فَرِحَ,0
فرس,فَرَسَ,0
غمق,غَمِقَ,0
عبث,عَبَثَ,0
قمط,قَمَطَ,0
لثم,لَثَمَ,0
زمر,زَمِرَ,0
سرح,سَرِحَ,0
فتل,فَتِلَ,0
لثغ,لَثِغَ,0
فزع,فَزِعَ,0
فسح,فَسَحَ,0
فسخ,فَسَخَ,0
شرم,شَرِمَ,0
فشل,فَشِلَ,0
رنق,رَنِقَ,0
فطن,فَطَنَ,0
فظع,فَظِعَ,0
فغر,فَغَرَ,0
دخن,دَخِنَ,0
عقد,عَقَدَ,0
شفع,شَفَعَ,0
زرد,زَرِدَ,0
فقد,فَقَدَ,0
خشب,خَشَبَ,1
حصر,حَصِرَ,0
فقع,فَقَعَ,0
فقه,فَقِهَ,0
لصق,لَصِقَ,1
قلص,قَلَصَ,0
قطف,قَطَفَ,1
دحس,دَحَسَ,0
فلح,فَلَحَ,0
رغم,رَغِمَ,0
فكه,فَكِهَ,0
غلق,غَلِقَ,0
فوق,فَوِقَ,1
شفع,شَفَعَ,0
قفش,قَفَشَ,0
ربد,رَبِدَ,1
فند,فَنِدَ,0
رطب,رَطِبَ,0
جرب,جَرِبَ,0
عصب,عَصَبَ,0
معد,مَعَدَ,0
قرد,قَرِدَ,0
علم,عَلِمَ,0
قبل,قَبِلَ,1
قتم,قَتَمَ,0
قدح,قَدَحَ,0
قتر,قَتِرَ,0
قبض,قَبَضَ,0
بطر,بَطِرَ,0
تسع,تَسَعَ,0
قذع,قَذَعَ,0
فرس,فَرَسَ,0
قدر,قَدِرَ,0
فقس,فَقَسَ,0
